"modelID","varName","value","temperature","climate","indoorUnittype","info","hpType"
"","EN14825_002","8.23","4","3","0","2","0"
"","EN14825_002","8.67","5","3","0","2","0"
"","EN14825_003","4.48","4","3","0","2","0"
"","EN14825_003","3.47","5","3","0","2","0"
"","EN14825_004","-10","4","3","0","2","0"
"","EN14825_004","-10","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","7.50","4","3","0","2","0"
"","EN14825_008","7.74","5","3","0","2","0"
"","EN14825_009","2.90","4","3","0","2","0"
"","EN14825_009","2.25","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","4.20","4","3","0","2","0"
"","EN14825_010","4.78","5","3","0","2","0"
"","EN14825_011","4.20","4","3","0","2","0"
"","EN14825_011","3.26","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.80","4","3","0","2","0"
"","EN14825_012","2.96","5","3","0","2","0"
"","EN14825_013","6.19","4","3","0","2","0"
"","EN14825_013","4.75","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","1.55","4","3","0","2","0"
"","EN14825_014","1.48","5","3","0","2","0"
"","EN14825_015","6.76","4","3","0","2","0"
"","EN14825_015","5.53","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","8.23","4","3","0","2","0"
"","EN14825_016","8.67","5","3","0","2","0"
"","EN14825_017","2.82","4","3","0","2","0"
"","EN14825_017","1.93","5","3","0","2","0"
"","EN14825_018","8.23","4","3","0","2","0"
"","EN14825_018","8.67","5","3","0","2","0"
"","EN14825_019","2.82","4","3","0","2","0"
"","EN14825_019","1.93","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","70","4","3","0","2","0"
"","EN14825_022","70","5","3","0","2","0"
"","EN14825_023","29","4","3","0","2","0"
"","EN14825_023","29","5","3","0","2","0"
"","EN14825_024","28","4","3","0","2","0"
"","EN14825_024","28","5","3","0","2","0"
"","EN14825_025","29","4","3","0","2","0"
"","EN14825_025","29","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","0","4","3","0","2","0"
"","EN14825_027","0","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.00","5","3","0","2","0"
"","EN14825_029","3798","4","3","0","2","0"
"","EN14825_029","5155","5","3","0","2","0"
"","title","MultiTherma 17 HD Cascade + MultiTherma PRO 16-25","0","0","0","1","0"
"","application","2","0","0","0","1","0"
"","indoor","1","0","0","0","1","0"
"","outdoor","1","0","0","0","1","0"
"","coolingMode7c12c","0","0","0","0","1","0"
"","coolingMode18c23c","0","0","0","0","1","0"
"","colderClimate","0","0","0","0","1","0"
"","warmerClimate","0","0","0","0","1","0"
"","reversibility","1","0","0","0","1","0"
"","colderForHeating","0","0","0","0","1","0"
"","warmerForHeating","0","0","0","0","1","0"
"","en145112Certification","0","0","0","0","1","0"
"","heatSource","0","0","0","0","1","0"
"","additionalOutdoorAir","0","0","0","0","1","0"
"","additionalExhaustAir","0","0","0","0","1","0"
"","additionalIndoorAir","0","0","0","0","1","0"
"","additionalNonheatedSpaceAir","0","0","0","0","1","0"
"","powerSupply","3","0","0","0","1","0"
"","offPeakProduct","0","0","0","0","1","0"
"","EN14511_2_001","5.13","4","10","0","2","0"
"","EN14511_2_001","5.08","5","10","0","2","0"
"","EN14511_2_002","1.05","4","10","0","2","0"
"","EN14511_2_002","1.79","5","10","0","2","0"
"","EN14511_2_003","4.91","4","10","0","2","0"
"","EN14511_2_003","2.85","5","10","0","2","0"
"","EN14511_4_003","2","0","10","0","2","0"
"","EN14511_4_004","2","0","10","0","2","0"
"","EN14511_4_005","2","0","10","0","2","0"
"","EN14511_4_006","2","0","10","0","2","0"
"","EN12102_1_001","33","4","3","0","2","0"
"","EN12102_1_001","33","5","3","0","2","0"
"","EN12102_1_002","52","4","3","0","2","0"
"","EN12102_1_002","53","5","3","0","2","0"
"","EN14825_001","171","4","3","0","2","0"
"","EN14825_001","132","5","3","0","2","0"
"","EN14825_002","8.23","4","3","0","2","0"
"","EN14825_002","8.67","5","3","0","2","0"
"","EN14825_003","4.35","4","3","0","2","0"
"","EN14825_003","3.38","5","3","0","2","0"
"","EN14825_004","-10","4","3","0","2","0"
"","EN14825_004","-10","5","3","0","2","0"
"","EN14825_005","-10","4","3","0","2","0"
"","EN14825_005","-10","5","3","0","2","0"
"","EN14825_008","7.50","4","3","0","2","0"
"","EN14825_008","7.74","5","3","0","2","0"
"","EN14825_009","2.90","4","3","0","2","0"
"","EN14825_009","2.25","5","3","0","2","0"
"","EN14825_047","0.900","4","3","0","2","0"
"","EN14825_047","0.900","5","3","0","2","0"
"","EN14825_010","4.20","4","3","0","2","0"
"","EN14825_010","4.78","5","3","0","2","0"
"","EN14825_011","4.06","4","3","0","2","0"
"","EN14825_011","3.16","5","3","0","2","0"
"","EN14825_048","0.900","4","3","0","2","0"
"","EN14825_048","0.900","5","3","0","2","0"
"","EN14825_012","2.80","4","3","0","2","0"
"","EN14825_012","2.96","5","3","0","2","0"
"","EN14825_013","5.97","4","3","0","2","0"
"","EN14825_013","4.58","5","3","0","2","0"
"","EN14825_049","0.900","4","3","0","2","0"
"","EN14825_049","0.900","5","3","0","2","0"
"","EN14825_014","1.55","4","3","0","2","0"
"","EN14825_014","1.48","5","3","0","2","0"
"","EN14825_015","6.53","4","3","0","2","0"
"","EN14825_015","5.35","5","3","0","2","0"
"","EN14825_050","0.900","4","3","0","2","0"
"","EN14825_050","0.900","5","3","0","2","0"
"","EN14825_016","8.23","4","3","0","2","0"
"","EN14825_016","8.67","5","3","0","2","0"
"","EN14825_017","2.82","4","3","0","2","0"
"","EN14825_017","1.93","5","3","0","2","0"
"","EN14825_018","8.23","4","3","0","2","0"
"","EN14825_018","8.67","5","3","0","2","0"
"","EN14825_019","2.82","4","3","0","2","0"
"","EN14825_019","1.93","5","3","0","2","0"
"","EN14825_021","0.900","4","3","0","2","0"
"","EN14825_021","0.900","5","3","0","2","0"
"","EN14825_022","70","4","3","0","2","0"
"","EN14825_022","70","5","3","0","2","0"
"","EN14825_023","29","4","3","0","2","0"
"","EN14825_023","29","5","3","0","2","0"
"","EN14825_024","28","4","3","0","2","0"
"","EN14825_024","28","5","3","0","2","0"
"","EN14825_025","29","4","3","0","2","0"
"","EN14825_025","29","5","3","0","2","0"
"","EN14825_026","0","4","3","0","2","0"
"","EN14825_026","0","5","3","0","2","0"
"","EN14825_027","0","4","3","0","2","0"
"","EN14825_027","0","5","3","0","2","0"
"","EN14825_028","0.00","4","3","0","2","0"
"","EN14825_028","0.00","5","3","0","2","0"
"","EN14825_029","3904","4","3","0","2","0"
"","EN14825_029","5292","5","3","0","2","0"
"","Refrigerant","R290","0","0","0","0"
"","Mass of Refrigerant","2,150 kg","0","0","0","0"
"","Date","10.12.2024","0","0","0","0"
"","Manufacturer"," IGLOO Sp. z o.o.","0","0","0","0"
"","Modelname","MULTITHERMA 17 HD","0","0","0","0"
"","Type","Outdoor Air/Water","0","0","0","0"
"","Energy","Electricity","0","0","0","0"
